legacy_table,module_id,prisma_model,mapping_status,notes
HRSalaryPolicyD3,M9,,missing_hr,
HRSalaryPolicyH,M9,,missing_hr,
HRSecondment,M9,,missing_hr,
HRSecondmentPolicyD,M9,,missing_hr,
HRSecondmentPolicyH,M9,,missing_hr,
HRSettingAccounts,M9,,missing_hr,
HRSettingAlarms,M9,,missing_hr,
HRSettingDays,M9,,missing_hr,
HRSettingInsurance,M9,,missing_hr,
HRSettingLateRules,M9,,missing_hr,
HRSettingTaxes,M9,,missing_hr,
HRShifts,M9,,missing_hr,
HRSocialStatus,M9,,missing_hr,
HRSpecialities,M9,,missing_hr,
HRSpecialty,M9,,missing_hr,
HRStartWork,M9,,missing_hr,
HRStopWork,M9,,missing_hr,
HRStopWorkD,M9,,missing_hr,
HRTicket,M9,,missing_hr,
HRTraining,M9,,missing_hr,
HRVacationPolicyD,M9,,missing_hr,
HRVacationPolicyH,M9,,missing_hr,
HRVacations,M9,,missing_hr,
HRWantEndOfServiceCodeD,M9,,missing_hr,
HRWantEndOfServiceD,M9,,missing_hr,
HRWantEndOfServiceH,M9,,missing_hr,
HRWantLoanD,M9,,missing_hr,
HRWantLoanH,M9,,missing_hr,
HRWantTransferD,M9,,missing_hr,
HRWantTransferH,M9,,missing_hr,
HRWantVacationD,M9,,missing_hr,
HRWantVacationH,M9,,missing_hr,
IATrxDetail,M-UNASSIGNED,,missing_detail_pattern,
IATrxHeader,M-UNASSIGNED,,missing_header_pattern,
IncomeStatementAccounts,M1,,missing,
InsuranceCompany,M-UNASSIGNED,,missing,
InternalSettings,M0,SystemSetting,mapped,
InterUnits,M4,,missing,
InvoiceContractor,M-UNASSIGNED,,missing,
InvoiceTrxCashs,M5,,missing,
InvoiceTrxChecks,M5,,missing,
InvoiceTrxDetail,M5,InvoiceLine,mapped,
InvoiceTrxDiscountGLNum,M5,,missing,
InvoiceTrxDistCash,M5,,missing,
InvoiceTrxHeader,M5,Invoice,mapped,
InvoiceTrxOthers,M5,,missing,
Item,M4,Item,mapped,
Itemcat,M4,,missing,
ItemColor,M4,,missing,
ItemColorSize,M4,,missing,
ItemConst,M4,,missing,
ItemConst1,M4,,missing,
ItemCost,M4,,missing,needs new ItemCostHistory model for moving average
ItemDetail,M4,,missing,
ItemOfferD,M4,,missing,
ItemOfferH,M4,ItemOffer,mapped,
ItemPic,M4,,missing,
ItemSerials,M4,,missing,
ItemsFirstTimeD,M4,OpeningStockLine,mapped,
ItemsFirstTimeH,M4,OpeningStock,mapped,
ItemSize,M4,,missing,
ItemsOrderD,M4,,missing,
ItemsOrderH,M4,,missing,
ItemStore,M4,ItemQuantity,mapped,
ItemSupplier,M4,,missing,
ItemUnit,M4,ItemUnit,mapped,
JobOrderD1,M-UNASSIGNED,,missing,
JobOrderD2,M-UNASSIGNED,,missing,
JobOrderH,M-UNASSIGNED,,missing,
JobOrderType,M-UNASSIGNED,,missing,
LangFormsTitles,M0,,missing,
LangLabelCaptions,M0,,missing,
LangLabelCaptionsTemp,M-UNASSIGNED,,missing,
LangMessages,M0,Translation,mapped,
LangReportCaptions,M0,,missing,
LangReportsTitles,M0,,missing,
Langs,M0,,missing,
LateValue,M-UNASSIGNED,,missing,
MainEtemad,M1,,missing,
MainEtemad1,M-UNASSIGNED,,missing,
MainEtemad12,M-UNASSIGNED,,missing,
MainEtemad2,M-UNASSIGNED,,missing,
MainEtemad4,M-UNASSIGNED,,missing,
